Datum;Datum1;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
24.01.2021;2021-01-24T23:59:59+01:00;3;1713465;Niederösterreich;25128;1.4665020878745703;31810;1.85647211936048
24.01.2021;2021-01-24T23:59:59+01:00;4;1517477;Oberösterreich;26837;1.76852762842534;37650;2.48109197042196
24.01.2021;2021-01-24T23:59:59+01:00;5;566751;Salzburg;10355;1.8270810285292802;14154;2.49739303503655
24.01.2021;2021-01-24T23:59:59+01:00;6;1260417;Steiermark;26013;2.06384077650492;33450;2.65388359566715
24.01.2021;2021-01-24T23:59:59+01:00;7;768443;Tirol;12923;1.68171224150653;16157;2.10256323500897
24.01.2021;2021-01-24T23:59:59+01:00;8;404415;Vorarlberg;10130;2.50485268845122;10810;2.6729967978438
24.01.2021;2021-01-24T23:59:59+01:00;9;1962779;Wien;41569;2.11786451760489;51547;2.62622536719621
24.01.2021;2021-01-24T23:59:59+01:00;10;9061848;Österreich;169706;1.8727526659021398;215792;2.3813244274236296
25.01.2021;2021-01-25T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
25.01.2021;2021-01-25T23:59:59+01:00;1;300457;Burgenland;5364;1.7852804228225703;6198;2.06285758028603
25.01.2021;2021-01-25T23:59:59+01:00;2;567644;Kärnten;12522;2.2059600735672404;14911;2.6268224450535897
25.01.2021;2021-01-25T23:59:59+01:00;3;1713465;Niederösterreich;26152;1.5262640322387702;39166;2.28577764938298
25.01.2021;2021-01-25T23:59:59+01:00;4;1517477;Oberösterreich;33037;2.17710054254529;46056;3.03503776334007
25.01.2021;2021-01-25T23:59:59+01:00;5;566751;Salzburg;10633;1.8761325520378402;14154;2.49739303503655
25.01.2021;2021-01-25T23:59:59+01:00;6;1260417;Steiermark;28145;2.23299114499408;40218;3.1908487429160397
25.01.2021;2021-01-25T23:59:59+01:00;7;768443;Tirol;14518;1.88927480632916;16157;2.10256323500897
25.01.2021;2021-01-25T23:59:59+01:00;8;404415;Vorarlberg;10502;2.5968374071189197;13588;3.35991493886231
25.01.2021;2021-01-25T23:59:59+01:00;9;1962779;Wien;44257;2.2548132010786803;52981;2.69928504431727
25.01.2021;2021-01-25T23:59:59+01:00;10;9061848;Österreich;185130;2.04296077356407;242744;2.6787472047644103
26.01.2021;2021-01-26T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
26.01.2021;2021-01-26T23:59:59+01:00;1;300457;Burgenland;5364;1.7852804228225703;6198;2.06285758028603
26.01.2021;2021-01-26T23:59:59+01:00;2;567644;Kärnten;12564;2.21335907716808;16591;2.9227825890875296
26.01.2021;2021-01-26T23:59:59+01:00;3;1713465;Niederösterreich;26716;1.5591797906581102;39502;2.30538703737748
26.01.2021;2021-01-26T23:59:59+01:00;4;1517477;Oberösterreich;35027;2.3082392682063704;46496;3.0640332604711604
26.01.2021;2021-01-26T23:59:59+01:00;5;566751;Salzburg;10994;1.93982895486731;14089;2.48592415364066
26.01.2021;2021-01-26T23:59:59+01:00;6;1260417;Steiermark;28325;2.2472721329528196;57388;4.55309631653651
26.01.2021;2021-01-26T23:59:59+01:00;7;768443;Tirol;15068;1.96084810454386;16157;2.10256323500897
26.01.2021;2021-01-26T23:59:59+01:00;8;404415;Vorarlberg;10502;2.5968374071189197;13433;3.3215879727507596
26.01.2021;2021-01-26T23:59:59+01:00;9;1962779;Wien;44893;2.28721623779346;60025;3.05816396038474
26.01.2021;2021-01-26T23:59:59+01:00;10;9061848;Österreich;189453;2.09066627469364;269194;2.9706302732069703
27.01.2021;2021-01-27T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
27.01.2021;2021-01-27T23:59:59+01:00;1;300457;Burgenland;5364;1.7852804228225703;7320;2.4362887201829198
27.01.2021;2021-01-27T23:59:59+01:00;2;567644;Kärnten;12894;2.27149410546046;18841;3.3191577819901203
27.01.2021;2021-01-27T23:59:59+01:00;3;1713465;Niederösterreich;27198;1.58730992462641;45022;2.62754126871573
27.01.2021;2021-01-27T23:59:59+01:00;4;1517477;Oberösterreich;36051;2.3757196978932797;47288;3.1162251553071294
27.01.2021;2021-01-27T23:59:59+01:00;5;566751;Salzburg;11494;2.02805111945105;15091;2.6627213714664797
27.01.2021;2021-01-27T23:59:59+01:00;6;1260417;Steiermark;28868;2.29035311329504;57899;4.5936384545749505
27.01.2021;2021-01-27T23:59:59+01:00;7;768443;Tirol;15616;2.0321611362196;18641;2.42581427640046
27.01.2021;2021-01-27T23:59:59+01:00;8;404415;Vorarlberg;10502;2.5968374071189197;16601;4.1049417059209
27.01.2021;2021-01-27T23:59:59+01:00;9;1962779;Wien;47551;2.42263647613919;63007;3.2100914061134795
27.01.2021;2021-01-27T23:59:59+01:00;10;9061848;Österreich;195538;2.15781593335046;289025;3.1894708452404
28.01.2021;2021-01-28T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
28.01.2021;2021-01-28T23:59:59+01:00;1;300457;Burgenland;5616;1.86915265745182;7512;2.50019137513854
28.01.2021;2021-01-28T23:59:59+01:00;2;567644;Kärnten;14088;2.4818372078274398;20071;3.53584288744354
28.01.2021;2021-01-28T23:59:59+01:00;3;1713465;Niederösterreich;29345;1.71261157946033;46270;2.7003761384096
28.01.2021;2021-01-28T23:59:59+01:00;4;1517477;Oberösterreich;37535;2.4735136018536004;47288;3.1162251553071294
28.01.2021;2021-01-28T23:59:59+01:00;5;566751;Salzburg;12456;2.19779056411016;16213;2.8606919087923997
28.01.2021;2021-01-28T23:59:59+01:00;6;1260417;Steiermark;31289;2.4824324013401897;57863;4.59078225698321
28.01.2021;2021-01-28T23:59:59+01:00;7;768443;Tirol;16042;2.08759790901863;23723;3.0871515519043
28.01.2021;2021-01-28T23:59:59+01:00;8;404415;Vorarlberg;11894;2.9410382898755003;16601;4.1049417059209
28.01.2021;2021-01-28T23:59:59+01:00;9;1962779;Wien;50191;2.55713964740809;63313;3.22568154641964
28.01.2021;2021-01-28T23:59:59+01:00;10;9061848;Österreich;208456;2.300369637628;298169;3.2903774152910095
29.01.2021;2021-01-29T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
29.01.2021;2021-01-29T23:59:59+01:00;1;300457;Burgenland;5616;1.86915265745182;7998;2.6619449704949503
29.01.2021;2021-01-29T23:59:59+01:00;2;567644;Kärnten;14088;2.4818372078274398;20113;3.5432418910443904
29.01.2021;2021-01-29T23:59:59+01:00;3;1713465;Niederösterreich;31283;1.8257157280714802;48814;2.8488472189393996
29.01.2021;2021-01-29T23:59:59+01:00;4;1517477;Oberösterreich;37625;2.4794444989940496;48848;3.21902737240828
29.01.2021;2021-01-29T23:59:59+01:00;5;566751;Salzburg;12631;2.22866832171447;17803;3.1412383921687
29.01.2021;2021-01-29T23:59:59+01:00;6;1260417;Steiermark;31631;2.50956627846181;57845;4.58935415818733
29.01.2021;2021-01-29T23:59:59+01:00;7;768443;Tirol;16042;2.08759790901863;24575;3.19802509750235
29.01.2021;2021-01-29T23:59:59+01:00;8;404415;Vorarlberg;13355;3.3023008543204395;16601;4.1049417059209
29.01.2021;2021-01-29T23:59:59+01:00;9;1962779;Wien;50197;2.5574453364337004;63397;3.2299611927782
29.01.2021;2021-01-29T23:59:59+01:00;10;9061848;Österreich;212468;2.3446431677070696;305309;3.36916929085546
30.01.2021;2021-01-30T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
30.01.2021;2021-01-30T23:59:59+01:00;1;300457;Burgenland;5807;1.93272248607954;7998;2.6619449704949503
30.01.2021;2021-01-30T23:59:59+01:00;2;567644;Kärnten;14088;2.4818372078274398;19698;3.4701326887979103
30.01.2021;2021-01-30T23:59:59+01:00;3;1713465;Niederösterreich;32292;1.8846022533287798;48814;2.8488472189393996
30.01.2021;2021-01-30T23:59:59+01:00;4;1517477;Oberösterreich;37625;2.4794444989940496;48848;3.21902737240828
30.01.2021;2021-01-30T23:59:59+01:00;5;566751;Salzburg;12787;2.2561936370646;17803;3.1412383921687
30.01.2021;2021-01-30T23:59:59+01:00;6;1260417;Steiermark;31723;2.51686545008517;57845;4.58935415818733
30.01.2021;2021-01-30T23:59:59+01:00;7;768443;Tirol;16042;2.08759790901863;24419;3.17772430746327
30.01.2021;2021-01-30T23:59:59+01:00;8;404415;Vorarlberg;13355;3.3023008543204395;16601;4.1049417059209
30.01.2021;2021-01-30T23:59:59+01:00;9;1962779;Wien;51433;2.6204172757095896;63397;3.2299611927782
